X,Y,Complain_Number,Time,Day,Main_Street,Second_Street,Quadrant,On_Street,Latitude,Longitude,Type,Injured,Vehicles,Bikes,Fatalities,GeocodeError,FID
-77.00056949,38.91975505,12044932,2012-04-02T22:00:00.000Z,Mon,RHODE ISLAND AVE,FOURTH ST,NE,Not at Inter,38.919755,-77.000569,Rear End,0,2,1,0,,101
-76.99666205,38.84007726,12044957,2012-04-02T22:45:00.000Z,Mon,SEVENTH ST,OXON RUN RD,SE,Not at Inter,38.840077,-76.996662,VENTH ST OXON RUN RD,1,1,1,0,,102
-77.03765615,38.90763233,12045434,2012-04-03T22:04:00.000Z,Tue,MASSACHUSETTS AVE,BATAAN ST,NW,Not at Inter,38.907632,-77.037656,Right Angle,1,2,1,0,,103
-76.94916035,38.89513338,12045446,2012-04-03T22:48:00.000Z,Tue,BENNING RD,MINNESOTA AVE,NE,Within 100ft,38.895133,-76.94916,SOTA AVE,1,1,1,0,,104
-76.99849762,38.83008215,12045485,2012-04-04T00:08:00.000Z,Tue,BRANDYWINE ST,SIXTH ST,SE,Not at Inter,38.830082,-76.998498,Other,1,1,1,0,,105
-77.03363159,38.90251853,12045751,2012-04-04T15:49:00.000Z,Wed,K ST,VERMONT AVE,NW,Within 100ft,38.902519,-77.033632,Other,1,1,1,0,,106
-77.02962613,38.90252273,12046292,2012-04-05T16:07:00.000Z,Thu,THIRTEENTH ST,K ST,NW,At Intersect,38.902523,-77.029626,Left Turn Hit Veh.,1,2,1,0,,107
-77.01991848,38.90146933,12046529,2012-04-05T23:46:00.000Z,Thu,SIXTH ST,MASSACHUSETTS AVE,NW,At Intersect,38.901469,-77.019918,Side Swiped,1,2,1,0,,108
-77.01242901,38.95230833,12046766,2012-04-06T12:58:00.000Z,Fri,NEW HAMPSHIRE AVE,GALLATIN ST,NW,At Intersect,38.952308,-77.012429,Left Turn Hit Veh.,1,2,1,0,,109
-77.029725,38.93628515,12046793,2012-04-06T13:59:00.000Z,Fri,THIRTEENTH ST,SPRING RD,NW,At Intersect,38.936285,-77.029725,Other,1,2,1,0,,110
-77.04370407,38.92111063,12046806,2012-04-06T14:28:00.000Z,Fri,COLUMBIA RD,MINTWOOD PL,NW,Within 100ft,38.921111,-77.043704,Side Swiped,1,2,1,0,,111
-77.0731619,38.92861158,12046910,2012-04-06T19:56:00.000Z,Fri,MASSACHUSETTS AVE,WISCONSIN AVE,NW,Within 100ft,38.928612,-77.073162,Straight Hit Ped.,1,2,1,0,,112
-77.0239891,38.90208916,12046971,2012-04-06T20:55:00.000Z,Fri,NINTH ST,K ST,NW,At Intersect,38.902089,-77.023989,Other,0,1,1,0,,113
-76.98344242,38.90013109,12047446,2012-04-07T17:46:00.000Z,Sat,BLADENSBURG RD,FIFTEENTH ST,NE,Within 100ft,38.900131,-76.983442,Right Turn Hit Ped.,1,2,1,0,,114
-76.98678128,38.90761749,12047522,2012-04-07T21:38:00.000Z,Sat,MONTELLO AVE,HOLBROOK TERR,NE,At Intersect,38.907617,-76.986781,Straight Hit Ped.,1,1,1,0,,115
-77.08182962,38.93493994,12048339,2012-04-09T20:00:00.000Z,Mon,MASSACHUSETTS AVE,EMBASSY PARK DR,NW,At Intersect,38.93494,-77.08183,Right Turn Hit Veh.,1,2,1,0,,116
-77.00777834,38.89686039,12048485,2012-04-10T01:48:00.000Z,Mon,FIRST ST,MASSACHUSETTS AVE,NE,At Intersect,38.89686,-77.007778,Other,1,1,1,0,,117
-77.05908413,38.91831378,12048497,2012-04-10T02:37:00.000Z,Mon,MASSACHUSETTS AVE,ROCK CREEK DR,NW,At Intersect,38.918314,-77.059084,Right Turn Hit Ped.,1,1,1,0,,118
-77.03653852,38.90373933,12048832,2012-04-10T22:47:00.000Z,Tue,SIXTEENTH ST,L ST,NW,At Intersect,38.903739,-77.036539,Left Turn Hit Veh.,1,1,1,0,,119
-77.01215693,38.91211691,12048904,2012-04-10T23:40:00.000Z,Tue,FIRST ST,FLORIDA AVE,NW,At Intersect,38.912117,-77.012157,Left Turn Hit Ped.,1,1,1,0,,120
-77.01990538,38.89613007,12048946,2012-04-11T01:40:00.000Z,Tue,SIXTH ST,E ST,NW,At Intersect,38.89613,-77.019905,Left Turn Hit Ped.,1,1,1,0,,121
-77.02377331,38.93281057,12049092,2012-04-11T11:45:00.000Z,Wed,GEORGIA AVE,PARK RD,NW,At Intersect,38.932811,-77.023773,Side Swiped,0,2,1,0,,122
